pi,cpu,ram,temp,humidity,label
52,54.5,30,25,43,0
49.5,3,60,26,37,0
77,8.3,38,26,42,0
47,57.7,33,29,39,0
84.1,20.9,31,30,40,0
71.1,27.6,64,29,33,0
49.2,92.2,33,30,38,0
57.7,53.4,62,29,43,0
47.6,56.6,30,29,39,0
75.1,28.1,85,27,38,0
53.9,93.9,30,27,32,0
48,88.1,74,27,42,0
52.8,67.1,79,27,38,0
84.6,39.5,74,28,32,0
48.3,70.8,89,28,40,0
50.4,88.9,60,27,39,0
79.3,45.4,32,30,38,0
53.5,44.1,39,26,33,0
83.7,33.9,32,27,41,0
82.7,15.1,33,30,42,0
47.5,61.1,72,30,38,0
80.8,37.2,75,28,33,0
79,96.2,67,27,32,0
55.2,65,81,27,36,0
83.2,32.2,32,26,36,0
80.3,26.5,73,28,41,0
58.4,18.6,82,27,43,0
49.6,94.1,66,29,43,0
77.1,2.9,34,30,35,0
81.7,19.3,72,29,40,0
78.7,57.2,73,27,36,0
79.2,32.4,38,26,39,0
84,17.3,36,26,35,0
55,40.1,78,25,36,0
76.3,68.4,36,27,34,0
79,25.2,38,30,40,0
48.3,85.5,86,25,42,0
78.2,72.8,55,25,33,0
48.4,48,30,26,39,0
76.8,96.9,38,29,33,0
79.8,58.4,73,26,38,0
78.1,76.7,60,28,34,0
74.7,10.8,81,30,34,0
82.9,87.6,76,28,36,0
52.6,14.9,81,26,40,0
78.8,76,40,30,40,0
52.8,9,70,26,41,0
79.5,51,32,25,34,0
78.2,8.4,62,27,36,0
83.3,32.5,39,29,39,0
79.6,33.6,79,25,38,0
80.2,39.7,30,30,41,0
45.4,92.9,33,25,42,0
83.4,26.1,31,29,37,0
89.8,23.7,81,26,41,0
72.4,25.2,64,30,34,0
80.3,17.2,33,27,33,0
81.7,12.6,33,27,43,0
46.5,65.6,71,27,35,0
83,85.6,30,30,36,0
82.3,29.1,88,30,38,0
47.2,49.6,71,28,42,0
78.6,82.2,66,25,37,0
58,98.2,88,28,32,0
78.7,26.5,33,25,37,0
84.2,69.3,74,29,35,0
57.8,11.2,70,25,33,0
82,19.3,37,25,40,0
75.3,0.7,39,28,35,0
84,75.8,33,27,38,0
77.4,57.5,54,30,39,0
50,61.1,76,26,35,0
84.2,86.4,56,25,40,0
58.3,9.1,65,28,34,0
51.1,61.9,77,26,36,0
49.4,83.9,61,30,32,0
83.6,2.7,35,30,38,0
70.2,0.7,66,26,35,0
73.7,1.5,67,29,41,0
45.4,11.4,80,26,40,0
76.7,6.5,36,25,34,0
49,79.9,39,28,42,0
53.2,14.7,75,27,40,0
52.5,70.8,39,30,37,0
52.7,49.7,34,26,40,0
52.9,25.4,86,26,33,0
79.5,21.6,81,29,36,0
53,70.1,30,29,42,0
48.4,24.2,72,28,39,0
85.4,4.8,77,26,33,0
78,96.3,65,27,43,0
54.4,98.6,35,30,33,0
83.1,16.5,66,28,35,0
80.1,8.8,35,30,43,0
92.2,19,84,25,35,0
79.7,0.5,73,30,43,0
84.7,40.6,33,25,34,0
47.6,47.3,30,27,37,0
53.5,70.1,38,25,32,0
51.2,5.1,87,27,40,0
51.3,51.5,34,26,37,0
80.7,13.6,33,26,40,0
52.6,44.6,63,27,43,0
79.7,44.4,66,30,42,0
50,88.3,39,25,34,0
79.8,75.9,39,26,37,0
56.5,76.7,79,30,33,0
49.9,12.3,76,25,35,0
93,15.9,71,25,36,0
47.7,90.9,83,30,38,0
84.8,72.3,30,29,36,0
82.2,40.7,63,30,37,0
80.2,72.2,63,27,33,0
81.6,56.1,60,29,43,0
53.4,20.4,71,26,38,0
75.7,85.9,33,29,39,0
79.8,17.5,30,28,35,0
51.3,34.5,71,26,41,0
53.5,1.5,77,26,36,0
70.9,20.4,66,28,39,0
78.9,97,38,26,39,0
92.9,1.8,60,30,43,0
81.5,83.2,33,25,41,0
79.8,95.6,51,28,37,0
77.3,8.8,80,28,39,0
78.6,78.7,35,30,36,0
81.5,76,35,28,42,0
50.1,24.4,80,27,33,0
73.4,28,73,29,36,0
55.1,4.2,76,30,34,0
82.4,70.4,76,25,33,0
46.3,51.2,34,28,37,0
81.5,14,88,29,41,0
50.3,71.9,30,28,33,0
82.4,88.8,70,29,43,0
51,91.5,31,29,39,0
46.9,79.7,66,27,38,0
75.9,78.9,61,30,43,0
84.8,87.2,34,26,39,0
83.4,58.9,35,30,34,0
77.4,92.7,30,25,37,0
80.1,24.4,34,27,42,0
53.8,29.5,75,30,34,0
83.9,10.4,78,25,33,0
46.6,5.6,61,26,34,0
75.8,2,35,28,34,0
82.1,4,90,30,32,0
78.1,37.9,31,26,38,0
45.2,69.9,66,30,42,0
75.8,33,36,30,32,0
78.4,4.6,35,28,39,0
80.8,2.9,89,29,37,0
49.5,53.6,33,27,36,0
79.3,33.6,33,30,42,0
80,35.2,33,25,36,0
57.1,67.3,90,30,32,0
84.1,26,37,27,41,0
53.8,58.8,34,25,33,0
48.4,28.4,85,29,38,0
45.3,57.3,72,28,35,0
73.3,5,61,30,32,0
86.3,23.3,85,28,32,0
58.3,44.9,62,28,40,0
71.5,21.7,69,30,39,0
84.4,68.9,50,26,33,0
78.1,44.5,34,26,43,0
57.8,38.8,78,29,42,0
79.3,3.2,77,25,41,0
82.3,77.1,32,29,43,0
53.6,67.5,62,27,35,0
80.4,31.2,39,30,39,0
78,19.8,31,27,36,0
72,19.4,88,28,39,0
84.8,10.8,30,27,34,0
52.3,64.7,38,25,39,0
78.3,68.5,57,29,41,0
48.6,33.2,78,25,41,0
49.2,50.4,30,25,40,0
53.1,72.7,33,25,39,0
82,69.5,54,27,36,0
48.7,37.4,87,26,40,0
73.2,15.2,75,30,41,0
85.6,21.1,83,26,43,0
58.1,54.3,81,27,41,0
83.1,60.6,30,27,40,0
77.8,26.3,90,30,34,0
84.5,27,40,28,35,0
50.8,63.7,35,28,34,0
56.7,6.2,73,28,38,0
82.6,24.3,30,28,40,0
53.5,20.6,82,26,36,0
77.9,13.8,35,25,36,0
74.3,23.5,62,29,40,0
46.4,64.5,32,26,43,0
78.9,3.4,32,27,38,0
79.6,16.7,38,26,35,0
79.5,26.7,32,25,38,0
47.5,60.7,38,26,40,0
81.1,13.1,31,25,37,0
78.6,55.1,39,25,39,0
75.9,19.7,38,26,38,0
76.2,12.7,35,27,39,0
52.4,38.1,77,27,32,0
77.9,25.3,37,29,42,0
53.9,55.9,39,26,41,0
46.1,59.3,37,30,40,0
50,44.6,76,29,36,0
83.2,98.3,36,29,34,0
79.8,66.1,35,25,43,0
48.9,44.2,40,29,34,0
48.3,3.1,74,26,34,0
47.4,22.6,81,26,43,0
80.5,26.7,36,27,40,0
52.8,58.3,33,26,43,0
75.7,47.1,79,28,43,0
50.9,55.9,86,28,40,0
84.2,93.4,37,25,37,0
84,20.1,39,25,36,0
77.8,70.2,34,30,43,0
54.4,31.9,86,26,37,0
79,63.3,67,26,33,0
45.3,70.1,39,30,32,0
56.3,31.1,66,25,43,0
81.2,29.3,34,25,39,0
84.1,41.7,37,27,38,0
75.1,23.9,40,26,37,0
49.6,69.8,75,27,37,0
77.6,7.8,35,26,38,0
50.4,46.2,82,25,33,0
51.6,47.5,39,25,42,0
82,33.5,33,25,40,0
84.5,40.1,50,30,35,0
75.1,19.8,40,27,43,0
50.7,85.8,35,29,41,0
75.5,38.8,39,29,36,0
45.8,65.2,32,26,41,0
94.8,9.8,61,30,39,0
78.4,33.4,34,28,33,0
51.5,79.3,39,28,35,0
57.7,41.2,86,29,35,0
45.9,28.4,64,29,33,0
55.5,89.8,68,28,36,0
76.5,10.3,31,25,37,0
84.5,65.2,52,30,41,0
46.8,39.4,66,27,40,0
80.8,97.5,69,28,42,0
80.8,29.4,40,26,37,0
47.7,76.7,30,28,34,0
83.6,89.2,32,30,33,0
83.9,13,34,28,34,0
51.9,5.1,64,25,43,0
83.5,73.1,30,25,35,0
84.4,54.8,39,25,38,0
80.5,62.1,32,30,39,0
53.8,50.1,76,26,34,0
75.9,46.9,72,27,36,0
51.5,53.7,63,25,32,0
51.6,37.8,73,27,32,0
45.1,77.4,35,25,41,0
86.9,25.3,70,27,39,0
57.7,43,61,28,40,0
55,9.8,62,29,32,0
82.8,33.6,40,26,43,0
53,91.3,38,30,34,0
53.2,58.9,32,25,40,0
57.2,14.4,82,28,34,0
80.4,7.7,34,26,32,0
80.6,27,32,28,36,0
52.4,22.1,90,30,33,0
50.3,40.5,34,25,37,0
82.7,38.6,36,28,40,0
72.7,4.1,61,27,35,0
71.9,37.9,82,30,40,0
78.7,88.7,35,28,34,0
52.8,49.2,66,30,34,0
81.7,34.5,78,28,35,0
51.7,16.5,89,27,35,0
58.3,1.4,62,29,42,0
85.5,31.1,82,26,43,0
94.7,15.7,69,29,39,0
45.6,7.9,63,26,41,0
84.8,25.8,38,26,40,0
83.8,94,32,27,34,0
79.7,65.6,34,30,39,0
81.2,61.8,77,26,32,0
81.8,64,40,26,43,0
82.6,55.6,34,29,41,0
50.4,14,85,28,32,0
54.5,47.6,33,27,33,0
84.3,93.7,51,26,42,0
78.9,83.7,37,29,37,0
48.5,100,31,29,38,0
75.2,10.4,37,27,36,0
51.1,9.7,87,27,41,0
80.7,84.5,37,27,35,0
51.6,93.8,38,27,32,0
79.2,57.5,70,28,42,0
49.4,80.7,79,29,36,0
82.8,29.7,30,30,36,0
46.7,14.8,74,28,42,0
80.3,43.2,80,27,40,0
46.1,46.1,60,30,33,0
77.4,90.5,33,25,38,0
80.6,39.4,34,29,40,0
76.4,64.4,40,25,43,0
45.2,73.9,86,29,32,0
56.8,74.9,70,28,34,0
48.6,79.4,38,25,34,0
48.3,33.7,81,30,41,0
80.3,91.1,34,28,38,0
83.9,12.9,32,29,39,0
81,49.3,72,27,41,0
77.4,10.7,37,25,37,0
49.3,54.6,39,27,42,0
57.5,82.5,78,27,33,0
74.2,2.4,75,28,33,0
46.4,64.6,75,25,36,0
75.7,84.3,50,29,33,0
76.7,77.5,40,25,36,0
84.2,64.9,69,28,36,0
76.3,96.3,36,27,33,0
79.9,15.6,40,30,34,0
84.1,88.5,78,28,32,0
54.3,66.4,33,25,33,0
90,1.6,74,26,38,0
56.2,42.9,82,28,36,0
78.6,94.6,68,28,38,0
81.6,86.6,57,26,35,0
74.5,4.3,84,26,40,0
45.6,67.2,67,30,36,0
79.4,60.8,30,28,43,0
77.6,12.5,77,26,33,0
86.7,5,73,27,38,0
81.7,56.4,39,25,34,0
53.1,91.9,34,29,40,0
82.2,90.3,36,25,42,0
51.3,65.1,63,28,36,0
79.8,60.5,36,30,41,0
84.5,58.1,34,26,39,0
55.1,2.9,82,25,33,0
77.9,26.1,85,26,38,0
82.5,88.8,34,26,39,0
78,66,58,27,42,0
50.1,24.8,61,26,33,0
94.1,8.3,80,26,36,0
78.5,95.7,40,25,37,0
79.3,81.6,34,26,34,0
76,32.6,71,28,43,0
52.3,47.1,32,28,36,0
87,11.3,84,28,32,0
55.1,99.4,70,30,41,0
84.3,79,55,26,37,0
47.6,20.6,65,30,42,0
76,83.4,68,28,38,0
86.1,12.4,68,28,41,0
55.3,88.4,71,25,35,0
54.6,24.1,90,28,36,0
82.7,49,37,25,34,0
76.9,30.2,87,28,36,0
79.9,35.6,34,29,39,0
57.1,27.5,70,28,33,0
49.5,58.4,71,27,38,0
81.4,22.8,76,29,33,0
83.2,69.3,33,28,38,0
52.9,99.7,80,25,43,0
83.1,39.2,30,27,40,0
48.2,73.8,36,26,36,0
47.5,90.5,34,25,33,0
54.7,99.8,89,25,33,0
76.4,1.9,65,30,43,0
48.2,76.3,40,26,34,0
79.4,23.3,36,28,36,0
48.7,89.7,82,30,33,0
80.9,82.1,30,30,36,0
78.2,45.6,31,28,35,0
56.6,44.5,90,26,35,0
53.1,99.4,65,26,33,0
87.8,22,75,26,36,0
84.5,92.5,72,30,36,0
81.9,14.7,34,26,40,0
93.6,4.9,71,27,36,0
50.6,90.1,40,26,33,0
48,95.4,31,26,33,0
45.4,24.2,73,27,42,0
80.6,67.1,39,27,41,0
57.1,24.8,77,30,35,0
75.2,86.7,65,27,33,0
78.8,82,32,29,41,0
80.6,26.6,37,28,37,0
56.2,7.8,77,26,33,0
54.4,91.9,37,29,38,0
80.8,11.6,73,29,43,0
77.3,87.4,40,29,42,0
46.9,64.8,65,30,34,0
80.3,81.3,69,28,39,0
47.8,94,32,28,34,0
47.1,90.2,38,27,35,0
75.3,17.4,31,27,36,0
75.6,50.2,34,29,41,0
76.3,73.5,62,26,39,0
81.9,34,37,27,34,0
58,47.8,81,25,39,0
74.5,37.3,84,28,33,0
77.8,87.4,53,30,43,0
75.9,24.6,37,28,38,0
50.5,83.7,33,25,41,0
46.8,61.8,81,25,40,0
76.6,90.3,67,30,42,0
45.2,45.6,79,28,38,0
78.1,29.5,37,26,34,0
51.7,61.6,84,28,33,0
81.2,59.8,40,30,32,0
83.6,19.9,65,27,39,0
75.4,18.2,37,30,38,0
77.1,78.7,32,28,38,0
79.3,9.1,75,26,43,0
83.8,26.8,87,28,35,0
79.5,66.4,33,25,41,0
81.9,20.5,39,25,39,0
54.8,83.3,36,29,35,0
49.4,84.5,35,26,38,0
78.1,12.7,34,29,32,0
58,14.8,65,27,43,0
95,22.8,61,28,38,0
76.8,80.6,36,28,37,0
84.1,85.8,54,29,35,0
51.1,9.2,74,29,32,0
70.3,22.4,80,28,34,0
50.5,99.5,81,28,41,0
78.2,59.2,37,28,42,0
83.5,30,35,28,38,0
46.5,26.1,70,29,40,0
85.5,4.8,89,26,34,0
81.7,35.2,34,29,37,0
87.1,15.4,68,25,36,0
85.1,0.5,69,26,42,0
76,48.2,32,30,33,0
47.2,50.2,36,30,35,0
82.5,5.5,39,26,41,0
75.3,3.2,33,25,40,0
81.7,23.9,64,28,34,0
45.6,20.2,64,29,32,0
78.9,29.8,61,27,37,0
45.8,33.1,86,25,41,0
79.7,22.2,33,27,37,0
56.2,51.1,65,25,43,0
78.1,22.1,31,26,33,0
82.6,49.3,30,28,40,0
45.8,98.3,35,30,32,0
55.8,29.6,90,25,38,0
80.6,63.5,33,28,33,0
84.3,65.8,33,27,43,0
84.5,8.4,36,25,37,0
49.1,9.8,78,29,41,0
84.2,82.4,36,27,37,0
84.8,76.1,60,28,40,0
48.8,82.7,90,29,33,0
84.7,98.5,37,28,35,0
83.8,67.2,76,25,34,0
76.2,39.6,39,30,39,0
51.3,59.9,36,26,34,0
57.4,77.2,60,30,32,0
94.1,30.1,80,29,36,0
78,89.6,35,26,43,0
52.2,75.7,39,27,32,0
45.6,70.6,35,26,32,0
80,69.9,35,28,38,0
76.7,49.7,34,29,37,0
76.7,96.8,31,26,37,0
48.8,71,60,26,40,0
76.9,9.4,30,27,40,0
48.4,71.2,36,25,32,0
46.7,41,86,28,41,0
57.5,31.8,70,25,36,0
55.9,56.7,66,25,36,0
46.2,97.7,36,28,37,0
46.7,74.6,67,30,35,0
73.4,16.2,83,28,35,0
82.2,57.4,53,26,34,0
82.2,22.5,32,26,42,0
49.3,75.8,75,26,35,0
78.6,83.3,31,27,34,0
47.2,44.7,85,26,35,0
74.6,1.5,76,29,43,0
51.8,52.4,40,26,40,0
81.6,25.2,68,29,42,0
55.8,81.3,83,25,34,0
55.2,3.1,63,25,34,0
78.7,62.9,38,25,33,0
84.1,82.3,35,26,40,0
54.4,19.8,82,29,40,0
57.6,73,70,25,43,0
75.3,46.8,39,25,34,0
54.9,89.1,83,27,43,0
75.5,53.9,69,25,32,0
87.5,2.8,78,30,38,0
78.2,32.2,64,28,38,0
50.3,91,88,28,37,0
83.4,4.5,90,26,39,0
51.1,67.9,30,27,32,0
83.5,54.8,60,27,42,0
52.6,56.9,32,26,35,0
84.7,87.5,37,25,35,0
82.9,35.9,88,29,43,0
49.9,26.5,83,25,37,0
84.1,66,33,27,38,0
47.8,18.2,67,25,37,0
54.7,97.6,36,29,37,0
73.1,10.7,84,28,43,0
78.2,75.5,54,27,32,0
77.6,25.1,38,28,41,0
75.3,56.4,39,28,35,0
76.3,54.2,39,27,32,0
82.6,85.3,40,29,34,0
47.5,50.1,76,27,38,0
79.5,26.1,33,28,41,0
77.1,56,32,26,38,0
46,40.5,69,30,41,0
92.2,26.6,86,30,40,0
80.5,61.1,40,27,36,0
51.1,64.5,74,27,32,0
87.2,37,72,27,43,0
49.2,15.6,75,27,32,0
57.4,3.1,86,30,43,0
55.1,35.5,76,25,35,0
88.2,21.2,85,30,43,0
84.1,70.1,58,30,38,0
51.9,63.7,35,29,40,0
83.8,5.7,35,29,36,0
77,96.5,35,30,36,0
49.8,11.8,66,29,41,0
56.5,55.2,75,27,43,0
80.1,35.1,75,25,37,0
81.7,26.9,31,30,43,0
76.5,71.5,40,30,41,0
87.6,4.1,75,29,35,0
89.1,23.9,84,26,34,0
47,95.1,34,27,39,0
84.4,95.5,34,30,33,0
87.4,10.2,73,28,43,0
80.9,81.4,33,25,38,0
81.3,2.4,33,25,37,0
55.9,39,66,28,37,0
80.9,22.1,79,26,40,0
82.3,44.5,32,27,43,0
81.3,71.9,70,25,35,0
51.3,79.7,76,26,40,0
80.5,22.6,35,26,40,0
79.3,9.2,70,25,32,0
45.3,77.9,33,29,36,0
54.2,86.1,36,29,42,0
77.5,29.7,31,26,40,0
51.9,60.8,82,28,36,0
78.8,25.4,88,27,32,0
74.9,35.2,62,25,32,0
52.2,40.9,67,27,37,0
51.2,28.3,88,26,42,0
47.7,88.5,34,27,42,0
49.5,27.8,62,25,32,0
49.8,65.8,63,25,37,0
80,36.2,39,30,37,0
94.2,23.9,60,27,34,0
75.6,4.3,34,29,34,0
80.4,44.8,34,29,42,0
53.4,93.5,39,30,43,0
84.2,85.7,31,27,36,0
48.9,66,65,30,38,0
49.4,22.3,85,25,41,0
79.8,22.5,38,30,33,0
49.9,53.5,69,26,40,0
51.1,67.6,32,30,33,0
49.2,48.3,81,30,35,0
52,41.6,69,27,38,0
80.1,6.3,34,30,36,0
72.4,35.2,68,29,39,0
46.3,93.5,35,25,40,0
58.4,92.8,73,30,36,0
53.8,6.8,70,26,33,0
48.5,7.8,89,28,35,0
83.9,22.9,32,30,32,0
79,37.3,90,26,41,0
78.8,9.5,37,27,36,0
81.5,55.6,54,29,37,0
76,38.9,89,25,39,0
47.2,5.5,85,25,38,0
80.6,9.2,67,26,42,0
78.9,78.4,57,25,35,0
77.9,80.8,75,29,35,0
84.1,19.5,38,25,33,0
51.9,82.8,36,29,40,0
46.7,63.7,74,25,39,0
48.8,62.7,38,27,36,0
77.6,84.4,77,26,38,0
46.5,7.4,72,30,33,0
83.8,51.4,37,26,36,0
79.5,63,39,30,41,0
78.7,30.8,68,29,43,0
49.7,12.9,62,27,37,0
48.7,22.8,71,26,39,0
46.5,10.7,67,26,38,0
50.5,84.7,32,29,37,0
46.4,29.9,89,29,40,0
79.4,4.2,37,29,40,0
90.6,38.6,65,26,32,0
77.1,89.4,39,30,33,0
45.4,59,38,26,37,0
84.6,14,40,29,43,0
82.1,68,53,29,40,0
79.5,83.2,75,27,39,0
45.3,99.2,34,26,40,0
75.7,59,59,25,40,0
77.5,73.1,51,30,39,0
78.7,40.7,32,28,40,0
54.5,75.8,39,27,33,0
84.1,84.4,72,29,37,0
49.5,81.5,82,27,36,0
75.5,6.1,37,26,38,0
84.6,75.7,36,26,40,0
46.7,77.1,33,30,42,0
83.8,66.1,64,27,43,0
81.2,28.6,39,25,39,0
54.4,39.9,80,29,32,0
82.7,19.8,83,30,41,0
47.5,47.8,39,30,36,0
79.6,46.8,77,27,32,0
79.3,97.3,32,28,34,0
83.4,82,69,28,38,0
84.7,67.5,67,30,33,0
53.7,4.5,72,26,37,0
74.5,36,81,30,34,0
46.1,40.6,31,26,37,0
47.2,65.9,77,25,42,0
46.6,72.5,35,30,39,0
79.6,76,75,30,34,0
76.8,52.5,66,25,34,0
75.3,33.6,90,29,33,0
84.3,8,38,30,39,0
79.8,96,35,26,35,0
75.9,20.1,37,29,41,0
52.3,42,33,29,34,0
48.2,45.1,35,25,43,0
55.2,67.1,90,29,42,0
73.8,18.1,87,27,38,0
80.2,31.3,30,27,39,0
81.5,84.9,38,25,35,0
83.9,39.6,72,30,39,0
84,33.1,37,30,38,0
81.1,22.8,30,29,38,0
49,34.6,72,29,42,0
94.2,8.5,81,27,39,0
47,44.1,34,28,37,0
75.3,53.5,51,29,36,0
83.7,39.6,32,27,40,0
80,3.5,33,27,36,0
75.2,0.8,33,28,35,0
52.7,23.9,62,25,35,0
54.7,81.7,33,29,42,0
84,89,56,30,40,0
84.8,15.2,30,28,34,0
47,56.2,74,30,35,0
54.6,34.5,82,29,32,0
77.4,12.7,74,29,33,0
50.4,14.4,90,27,36,0
71.2,15.6,60,28,40,0
80,59.4,30,28,39,0
83.5,71.9,50,30,36,0
71.8,17.5,78,30,36,0
83.7,89,59,30,40,0
48,47.1,77,30,34,0
53,52.1,34,29,32,0
75.4,56,70,30,34,0
53.2,35.1,80,29,41,0
90.3,20.5,74,30,33,0
78.4,80.6,63,30,37,0
45.9,89.9,31,26,43,0
49.1,91.2,69,25,33,0
79.3,7.7,32,30,42,0
79.1,52.2,30,25,36,0
94.3,24.5,83,27,41,0
80.9,31.4,37,26,41,0
54.6,39,83,30,40,0
57.4,75.7,84,29,40,0
56.5,80.8,88,25,40,0
80.2,54.3,59,29,39,0
84.8,82.3,74,29,36,0
54.5,97.6,76,30,32,0
81,44,39,28,43,0
76.8,80.4,50,25,32,0
78.4,97.7,31,30,34,0
84.7,53.4,80,26,33,0
89.6,38.6,66,25,39,0
79.4,35.1,30,28,41,0
49.1,76.6,82,29,33,0
49.4,38.7,90,30,34,0
87.9,28.6,86,30,37,0
53.5,50.2,34,26,34,0
79.7,92.8,50,27,37,0
86,27.3,90,25,43,0
48.8,72.4,31,28,43,0
53.4,59,36,27,43,0
80.2,15.7,35,29,43,0
81.6,20,39,25,38,0
77.5,20.7,83,29,41,0
77.6,65.1,56,28,38,0
53.3,20.7,79,26,39,0
81.2,26.7,30,29,36,0
49.2,79.5,83,27,32,0
51.6,74.6,39,29,38,0
50.9,83.1,69,29,43,0
79.8,96.9,38,29,43,0
53.1,82.2,33,27,38,0
53.8,61.9,68,29,39,0
45.7,18.4,86,25,36,0
83,4.5,78,29,37,0
76.5,55.6,56,30,32,0
82.9,10.7,63,29,33,0
75.2,27.4,88,28,42,0
79.8,72.2,58,30,40,0
45.4,65.1,33,28,34,0
55.7,65.4,86,27,37,0
82.7,22.5,90,29,35,0
48.2,1.3,62,28,33,0
50.4,93.9,34,29,42,0
78.8,20.8,88,29,43,0
76.8,41.6,57,29,38,0
51,29.8,72,29,42,0
47.4,3.5,63,26,43,0
51.8,50.2,37,25,34,0
55.7,10.6,84,25,33,0
51.5,40.9,30,27,36,0
47.2,81.2,36,30,36,0
75.9,4.5,31,26,36,0
53,77.4,78,28,40,0
91.1,28.8,61,26,37,0
53.8,78.8,36,26,41,0
76.9,39.7,86,25,37,0
79.5,8.5,39,30,43,0
78.7,64.2,32,25,41,0
81.4,48.5,31,27,41,0
55.3,36.7,67,25,33,0
52.6,98,33,29,38,0
48.7,54.9,34,30,41,0
90.8,29.7,88,30,39,0
76.9,75.3,67,29,35,0
51.6,41.6,85,27,34,0
75.6,98.6,31,29,32,0
82.2,24.8,40,25,41,0
87.9,22.5,87,30,37,0
82.7,30.6,79,30,32,0
82.7,84.6,64,27,38,0
82.9,44.7,33,27,42,0
77.9,13.5,38,25,39,0
51.6,77,34,28,36,0
76.1,22.5,34,29,33,0
46.1,29.7,72,30,39,0
93.1,1.4,72,28,40,0
48.7,78.2,32,26,38,0
94.4,12.2,78,26,37,0
46.1,70,63,29,33,0
48.2,75.5,30,27,32,0
75.6,19.3,33,29,38,0
54.8,27.1,81,28,42,0
80.6,82.2,53,29,33,0
76.1,5.5,37,25,39,0
82.6,14.3,89,27,40,0
49.8,95.8,39,29,39,0
46.4,59.8,39,29,39,0
76.9,7.6,88,27,36,0
78.1,18.8,30,25,42,0
77.4,93.7,72,29,32,0
75.7,13.8,40,28,34,0
54.8,75.2,32,27,37,0
56.6,74.4,77,25,35,0
50.1,61.7,67,26,36,0
52.6,0.2,68,30,36,0
78.4,37.8,75,26,34,0
57.3,68.9,61,28,37,0
73.8,38.3,82,27,33,0
54.6,51.6,71,27,43,0
84.3,20.2,63,25,42,0
56.5,44,62,28,41,0
76.3,54.2,75,25,41,0
49.2,15.7,72,30,38,0
47.9,30.2,63,26,37,0
84.7,57.1,34,30,42,0
45.6,33.2,71,27,35,0
51,26.1,68,30,36,0
48.9,97.9,88,29,39,0
58,30.1,63,25,38,0
76.7,75.2,68,28,39,0
84,83.2,39,25,40,0
76.2,69.5,70,27,34,0
75.4,61.4,37,30,38,0
56.4,50.7,67,28,42,0
53.3,56.4,30,26,32,0
50,51,38,29,37,0
84.1,96.8,33,26,41,0
45.4,92.5,70,25,35,0
57.4,92.9,85,26,40,0
79.1,6.8,33,28,42,0
55,27.3,76,29,34,0
94.4,23.8,84,26,42,0
84.5,53.7,57,28,32,0
52,98,31,25,40,0
85,20.3,76,27,32,0
76.4,70.3,65,26,32,0
75.2,48.3,53,27,38,0
89.3,33.9,69,25,34,0
57.5,61.7,67,25,37,0
